image_id,composite_caption,composite_rank,coco_caption_1,coco_caption_2,coco_caption_3,coco_caption_4,coco_caption_5,original_caption,original_rank,hallucination,halluc_caption_1,halluc_caption_2,halluc_caption_3,halluc_clipscore_1,halluc_clipscore_2,halluc_clipscore_3,halluc_rank_1,halluc_rank_2,halluc_rank_3
000000279024.jpg,"A ceramic toilet filled with empty drink cans, along with a bundle of trash that includes recyclable materials in garbage bags, is left sitting on a curb on a city street. The scene features various items of rubbish, including polythenes and bottles, all gathered together with the toilet basin, creating an inappropriate and unsightly display of waste.",1,Putting a used toilet out with the trash is certainly not appropriate.,A ceramic toilet filled with empty drink cans amongst other rubbish on a city street ,Recyclable material in garbage bags are left outside.,a bunch of trash and a toilet sitting on a curb ,"A bundle of trash with a toilet basin, polythenes and bottles",Recyclable material in garbage bags are left outside.,7,0,"A ceramic toilet filled with empty drink cans, along with a bundle of trash that includes non-recyclable materials in garbage bags, is left sitting on a curb on a city street. The scene features various items of rubbish, including polythenes and bottles, all gathered together with the toilet basin, creating an inappropriate and unsightly display of waste.","A ceramic toilet filled with empty drink cans, along with a bundle of trash that includes non-recyclable materials in garbage bags, is left sitting on a curb on a city street. The scene features various items of rubbish, including polythenes and bottles, all gathered together with the toilet basin, creating an inappropriate and unsightly display of waste.","A ceramic toilet filled with empty drink cans, along with a bundle of trash that includes non-recyclable materials in garbage bags, is left sitting on a curb on a city street. The scene features various items of rubbish, including polythenes and bottles, all gathered together with the toilet basin, creating an inappropriate and unsightly display of waste.",0.82470703125,0.82470703125,0.82470703125,2.0,2.0,2.0
000000511121.jpg,"A man is jumping in the air in a field, attempting to catch a frisbee. He leaps upwards, stretching his body as he reaches for the frisbee mid-flight. The action captures his determination as he tries to catch the frisbee during his jump.",2,A man jumping into the air trying to catch a frisbee.,A man that is jumping in the air with a frisbee.,Man in a field jumping up to catch a frisbee ,A man leaps in the air after the frisbee.,He had to jump in the air to catch the frisbee.,He had to jump in the air to catch the frisbee.,30,0,"A man is jumping in the air in a field, attempting to catch a basketball. He leaps upwards, stretching his body as he reaches for the basketball mid-flight. The action captures his determination as he tries to catch the basketball during his jump.","A man is jumping in the air in a field, attempting to catch a soccer ball. He leaps upwards, stretching his body as he reaches for the ball mid-flight. The action captures his determination as he tries to catch the soccer ball during his jump.","A man is jumping in the air in a field, attempting to catch a soccer ball. He leaps upwards, stretching his body as he reaches for the soccer ball mid-flight. The action captures his determination as he tries to catch the soccer ball during his jump.",0.765625,0.798828125,0.79052734375,7.0,4.0,4.0
000000210296.jpg,"A woman is standing in a grassy pasture, overlooking a field filled with grazing sheep. She is holding a water bottle in one hand and a phone in the other, while taking in the view of the numerous sheep scattered across the landscape.",1,A woman standing  next to a field of sheep.,A woman is on a field holding a water bottle and a phone.,A woman overlooking a grassy pasture of sheep.,A woman standing in a field with lots of grazing animals.,A woman looking out into a field full of sheep,A woman looking out into a field full of sheep,1,0,"A woman is standing in a sandy desert, overlooking a field filled with grazing camels. She is holding a water bottle in one hand and a phone in the other, while taking in the view of the numerous camels scattered across the landscape.","A woman is standing in a sandy desert, overlooking a field filled with grazing camels. She is holding a water bottle in one hand and a phone in the other, while taking in the view of the numerous camels scattered across the landscape.","A woman is standing in a sandy desert, overlooking a field filled with grazing camels. She is holding a water bottle in one hand and a phone in the other, while taking in the view of the numerous camels scattered across the landscape.",0.56396484375,0.56396484375,0.56396484375,180.0,180.0,180.0
000000190995.jpg,"A man is riding his skateboard down the road while carrying a long stick. He is using the stick to push himself along, propelling his skateboard forward as he navigates the path.",94,A man is riding his skateboard down the road.,A man riding a skateboard carrying a long stick.,A man on a skateboard is pushing himself along with a pole.,A man riding on a skateboard with a stick.,A man on a skateboard pushing himself along with a stick.,A man on a skateboard pushing himself along with a stick.,89,0,"A man is riding his bicycle down the road while carrying a long stick. He is using the stick to push himself along, propelling his bicycle forward as he navigates the path.","A man is riding his skateboard down the road while carrying a short stick. He is using the stick to push himself along, propelling his skateboard forward as he navigates the path.","A man is riding his skateboard down the road while carrying a long rope. He is using the rope to pull himself along, propelling his skateboard forward as he navigates the path.",0.619140625,0.65673828125,0.67431640625,165.0,112.0,95.0
000000535977.jpg,"The kitchen features an oven with wooden floors and tiled walls, showcasing a stove top oven equipped with an induction heating stove top. Adjacent to this silver cooking range are a kettle and a toaster, while a flat top oven is located near a teapot on the counter, all contributing to the kitchen's functionality and design.",1,An oven in a kitchen with wooden floors and tiled walls. ,a stove top oven with induction heating stove top,A silver cooking range is in a kitchen beside a kettle and toaster.,A stove top oven sitting inside of a kitchen.,Flat top oven near tea pot on counter.,a stove top oven with induction heating stove top,1,0,"The kitchen features an oven with wooden floors and tiled walls, showcasing a stove top oven equipped with a gas heating stove top. Adjacent to this silver cooking range are a kettle and a toaster, while a flat top oven is located near a teapot on the counter, all contributing to the kitchen's functionality and design.","The kitchen features an oven with wooden floors and tiled walls, showcasing a gas stove top oven equipped with an induction heating stove top. Adjacent to this silver cooking range are a kettle and a toaster, while a flat top oven is located near a teapot on the counter, all contributing to the kitchen's functionality and design.","The kitchen features an oven with wooden floors and tiled walls, showcasing a gas stove top oven equipped with an induction heating stove top. Adjacent to this silver cooking range are a kettle and a toaster, while a flat top oven is located near a teapot on the counter, all contributing to the kitchen's functionality and design.",0.81494140625,0.818359375,0.818359375,1.0,1.0,1.0
000000010560.jpg,"A man lies on his back on a couch, with a laptop positioned on his chest. He has eyeglasses on and is engaged in work on the laptop, while a dog is also lying next to him.",1,A man lies on his back with a laptop on his stomach.,A man looks at a laptop that is sitting on his chest.,A man lying down with his dog with a laptop on his chest,A man with eyeglasses on a couch while working on a laptop,A person with a laptop laying on their chest.,A man lies on his back with a laptop on his stomach.,73,0,"A man sits on his back on a couch, with a laptop positioned on his chest. He has eyeglasses on and is engaged in work on the laptop, while a cat is also lying next to him.","A woman lies on her back on a couch, with a laptop positioned on her chest. She has eyeglasses on and is engaged in work on the laptop, while a cat is also lying next to her.","A man lies on his stomach on a couch, with a laptop positioned on his chest. He has eyeglasses on and is engaged in work on the laptop, while a cat is also lying next to him.",0.8447265625,0.74169921875,0.8134765625,1.0,5.0,1.0
000000486139.jpg,"A watermelon, orange, cantaloupe, bananas, raisins, and grapes are grouped together. Some of these fruits are sitting in the street, while a number of them are on a counter alongside additional bananas. Additionally, there is a bunch of bananas and grapes on the floor.",2,"A watermelon, orange, bananas, cantaloupe and raisins are grouped together.",A couple of fruits that are sitting in the street.,a number of fruits on a counter with bananas,A bunch of bananas and grapes on the floor.,"A watermelon, bananas, grapes, canalope, and an orange. ",A bunch of bananas and grapes on the floor.,4,1,,,,,,,,,
000000543010.jpg,"On a blue table, there is a blue plate displaying a variety of almond-covered cookies, surrounded by fresh oranges and almonds. The arrangement features a wood platter containing additional cookies, which are complemented by the presence of more almonds and oranges, creating a colorful and inviting spread of treats.",2,"A wood platter with cookies, almonds and oranges.",A plate of cookies surrounded by almonds and oranges. ,A blue plate displaying almond covered cookies next to oranges.,"There are oranges, almonds and cookies on a blue plate.","On this table there are oranges, almonds, and a plate of almond topped cookies.",A plate of cookies surrounded by almonds and oranges. ,1,1,,,,,,,,,
000000107129.jpg,"A black suitcase sits open on a bed, packed with an assortment of clothing items, including a red shirt, and other belongings, as well as a doll and a stuffed animal. The suitcase appears to be overstuffed with too many extra clothes that struggle to fit inside, showing signs of being packed with folded clothing that fills the available space.",1,A doll sits in a packed suitcase sitting on a bed.,a open suitcase on a bed with a red shirt and a stuffed animal ,A suitcase being packed with folded clothing on a bed.,Open packed suitcase with too many extra clothes to fit.,The black suitcase is packed with clothes and other items.,A suitcase being packed with folded clothing on a bed.,1,0,"A black suitcase sits open on a bed, packed with an assortment of clothing items, including a blue shirt, and other belongings, as well as a doll and a stuffed animal. The suitcase appears to be overstuffed with too many extra clothes that struggle to fit inside, showing signs of being packed with folded clothing that fills the available space.","A black suitcase sits open on a bed, packed with an assortment of clothing items, including a blue shirt, and other belongings, as well as a doll and a stuffed animal. The suitcase appears to be overstuffed with too many extra clothes that struggle to fit inside, showing signs of being packed with folded clothing that fills the available space.","A black suitcase sits open on a bed, packed with an assortment of clothing items, including a blue shirt, and other belongings, as well as a doll and a stuffed animal. The suitcase appears to be overstuffed with too many extra clothes that struggle to fit inside, showing signs of being packed with folded clothing that fills the available space.",0.95751953125,0.95751953125,0.95751953125,1.0,1.0,1.0
000000104304.jpg,"A woman is getting her hair styled in front of a mirror while a hairstylist blow dries her hair. She is smiling as she takes a selfie in the mirror, capturing the moment of having her hair done.",4,A woman getting her hair styled taking a selfie in the mirror.,A woman that is smiling while getting her done.,A woman taking a selfie in the mirror while a hairstylist blow dries her hair,A woman is taking a selfie while getting her hair done.,A woman is getting hair done in front of a mirror.,A woman that is smiling while getting her done.,13,0,"A woman is getting her hair styled in front of a mirror while a hairstylist curls her hair. She is frowning as she takes a selfie in the mirror, capturing the moment of having her hair done.","A woman is getting her hair styled in front of a mirror while a hairstylist curls her hair. She is frowning as she takes a selfie in the mirror, capturing the moment of having her hair done.","A woman is getting her hair styled in front of a mirror while a hairstylist curls her hair. She is frowning as she takes a selfie in the mirror, capturing the moment of having her hair done.",0.8271484375,0.8271484375,0.8271484375,4.0,4.0,4.0
000000242051.jpg,"A man stands by a table in a quaint, modest apartment, examining an electronic device while holding a wine glass in one hand and using his phone with the other. Nearby, shelves are full of various electronic equipment, and the man appears confused as he looks at a remote control.",1,A man examines an electronic device standing by a table.,A man is standing near shelves full of electronic equipment.,"Man looking confusingly at remote in a quaint, modest apartment.",a man stands in front of a table with a wine glass in hand ,The man is standing by the table using his phone.,A man is standing near shelves full of electronic equipment.,129,1,,,,,,,,,
000000141468.jpg,"A grizzly bear is taking a walk through the grassy woods, moving among the trees and bushes. The bear appears to be looking off into the distance as it walks through the forest, where the natural habitat is visible. There is also a close-up view of a bear near the bushes in a field, reflecting the bear's presence in a zoo outdoor setting.",4,A bear is taking a walk through the forest. ,A grizzly bear walking in the woods looking off in the distance.,"This is a picture of a zoo outdoor. 
",a close up of a bear near bushes on a field ,a big brown bear walking in the grassy woods ,a big brown bear walking in the grassy woods ,6,1,,,,,,,,,
000000112573.jpg,"Three adult brown bears are standing outside together, positioned beside each other under the open sky. The filtered photograph captures them as they sit next to one another, all staring intently at something. The background features a blue hue, adding a distinct context to the scene.",2,three adult brown bears standing around staring at something,there are three brown bears standing outside together,Filtered photograph of three brown bears under sky.,Three bears that are sitting next to each other.,Three brown bears beside each other with a blue background,Three bears that are sitting next to each other.,19,0,"Three adult polar bears are standing outside together, positioned beside each other under the open sky. The filtered photograph captures them as they sit next to one another, all staring intently at something. The background features a blue hue, adding a distinct context to the scene.","Three adult polar bears are standing outside together, positioned beside each other under the open sky. The filtered photograph captures them as they sit next to one another, all staring intently at something. The background features a blue hue, adding a distinct context to the scene.","Three adult black bears are standing outside together, positioned beside each other under the open sky. The filtered photograph captures them as they sit next to one another, all staring intently at something. The background features a blue hue, adding a distinct context to the scene.",0.7236328125,0.7236328125,0.7333984375,5.0,5.0,3.0
000000009077.jpg,"A market features a variety of fruits and vegetables on display for sale. In the produce section of a grocery store, many fruits are showcased, including bananas, oranges, apples, and lemons. Additionally, there is a farmers market where fruits and vegetables are available, presenting an extensive selection of products for customers.",9,A variety of fruit is displayed in a market.,Fruits and vegetables for sale in a farmers market. ,"Many fruits displayed in a produce store including bananas, oranges, apples and lemons.",The produce section of a grocery store showing many various fruits.,A market has many fruits and vegetables out for display. ,A market has many fruits and vegetables out for display. ,1,0,"A market features a variety of fruits and vegetables on display for sale. In the produce section of a grocery store, many fruits are showcased, including bananas, oranges, apples, and watermelons. Additionally, there is a farmers market where fruits and vegetables are available, presenting an extensive selection of products for customers.","A market features a variety of fruits and vegetables on display for sale. In the produce section of a grocery store, many fruits are showcased, including bananas, oranges, apples, and strawberries. Additionally, there is a farmers market where fruits and vegetables are available, presenting an extensive selection of products for customers.","A market features a variety of fruits and vegetables on display for sale. In the produce section of a grocery store, many fruits are showcased, including bananas, oranges, apples, and coconuts. Additionally, there is a farmers market where fruits and vegetables are available, presenting an extensive selection of products for customers.",0.8310546875,0.830078125,0.8408203125,9.0,9.0,9.0
000000181949.jpg,"On the couch, there are two children, a boy and a girl, with one child awake and the other sleeping. They are sitting together with a cat, which the boy is holding. The grouping creates a cozy scene as the two children, along with the cat, pose for a photograph.",49,There are two people on the couch one is awake the other is sleeping,Two children and a cat sitting together on a sofa.,Two children are on the couch with the cat,A boy and a girl sitting on a couch while the boy is holding a cat. ,Two children and a cat pose for a photograph.,Two children and a cat sitting together on a sofa.,5,0,"On the couch, there are two children, a boy and a girl, with both children awake. They are sitting together with a cat, which the boy is holding. The grouping creates a cozy scene as the two children, along with the cat, pose for a photograph.","On the couch, there are two children, a boy and a girl, with both children awake. They are sitting together with a cat, which the boy is holding. The grouping creates a cozy scene as the two children, along with the cat, pose for a photograph.","On the couch, there are two children, a boy and a girl, with both children awake and playing together. They are sitting next to a dog, which the boy is holding. The grouping creates a vibrant scene as the two children, along with the dog, pose for a photograph.",0.744140625,0.744140625,0.78125,50.0,50.0,38.0
000000341865.jpg,"A small white dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small white dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.",1,A white dog under a blanket being blow dried.,A small white dog being dried off by two women with a hair dryer.,"After having its shampoo, the little white dog is getting his hair blown dry.",A girl holds up a small white dog near another girl who is holding a blow dryer.,The woman are drying off the small wet dog. ,A girl holds up a small white dog near another girl who is holding a blow dryer.,1,0,"A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.","A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.","A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.",0.908203125,0.908203125,0.908203125,1.0,1.0,1.0
000000050753.jpg,"The kitchen is a modern, brightly lit space located in a residential home area, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with white appliances and tile flooring, creating a functional and inviting environment for cooking and dining.",1,"A kitchen with an oven, stove , sink, microwave and refrigerator.",Modern brightly lit kitchen of residential home area.,a kitchen with a stove a sink and a refrigerator,"A home kitchen with refrigerator, range, sink and breakfast counter.",A kitchen with white appliances and tile flooring,a kitchen with a stove a sink and a refrigerator,1,0,"The kitchen is a rustic, dimly lit space located in a commercial building, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with stainless steel appliances and hardwood flooring, creating a functional and inviting environment for cooking and dining.","The kitchen is a rustic, dimly lit space located in an urban industrial area, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with black appliances and hardwood flooring, creating a functional and inviting environment for cooking and dining.","The kitchen is a modern, brightly lit space located in a commercial building, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with white appliances and tile flooring, creating a functional and inviting environment for cooking and dining.",0.82958984375,0.83203125,0.83544921875,2.0,1.0,1.0
000000355652.jpg,"A woman is feeding a giraffe from her hand while standing on a platform that is at giraffe-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.",3,A woman feeds a giraffe from her hand.,Lady feeding a giraffe from a platform at giraffe-height,A woman holds her hand out to a giraffe near a fence.,A woman feeds a giraffe at a wildlife club. ,A woman touches a giraffe over a fence.,A woman holds her hand out to a giraffe near a fence.,1,0,"A woman is feeding a giraffe from her hand while standing on a platform that is at elephant-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.","A woman is feeding a giraffe from her hand while standing on a platform that is at elephant-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.","A woman is feeding a giraffe from her hand while standing on the ground. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.",0.82763671875,0.82763671875,0.826171875,3.0,3.0,3.0
000000367065.jpg,"A man is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.",1,a guy that is brushing his teeth and a baby too,A man and a baby with toothbrushes in their mouth. ,A man holding a child while they both brush their teeth.,A man and an infant brush their teeth for the cameras.,Both a man and the baby he is holding have toothbrushes in their mouths.,A man and an infant brush their teeth for the cameras.,1,0,"A man is holding a puppy while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.","A woman is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.","A dog is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.",0.8515625,0.783203125,0.7607421875,2.0,8.0,10.0
000000335807.jpg,"The small bathroom features a black carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.",20,"Small bathroom with rug, sink, toilet, and shower curtain.",A bathroom that has a black carpet on the floor.,A white toilet and a sink in a small room.,"A bathroom with a window, sink and toilet.",This is a bathroom that is painted an ugly mustard color.,"Small bathroom with rug, sink, toilet, and shower curtain.",39,0,"The small bathroom features a white carpet on the floor, complemented by a black toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.","The small bathroom features a black carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a bright blue color, contributing to the overall aesthetic of the room.","The small bathroom features a blue carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.",0.8212890625,0.7734375,0.79541015625,17.0,35.0,26.0
